,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,Alta Floresta,-9.8756,-56.0861,85.82,70,40,5.75,BR,1644090737
310,Wamba,8.9333,8.6,74.89,19,0,3.36,NG,1644090502
311,Luangwa,-15.6167,30.4167,72.52,93,72,2.62,ZM,1644090738
312,Marawi,7.9986,124.2928,66.65,91,12,1.81,PH,1644090176
313,Katy,29.7858,-95.8244,51.22,37,0,1.99,US,1644090434
314,Brae,60.3964,-1.353,37.31,59,100,37.11,GB,1644090739
315,Lavrentiya,65.5833,-171.0,-17.36,93,12,9.82,RU,1644089978
316,Kruisfontein,-34.0033,24.7314,67.89,84,30,17.43,ZA,1644090184
317,Awbari,26.5921,12.7805,55.42,28,3,8.79,LY,1644090739
318,Shalya,57.2471,58.7298,19.06,93,100,8.16,RU,1644090740
319,Port Macquarie,-31.4333,152.9167,62.56,74,93,14.32,AU,1644090195
320,El Fuerte,26.4189,-108.6194,77.41,16,16,2.39,MX,1644090740
321,Carutapera,-1.195,-46.02,77.77,91,100,8.32,BR,1644090036
322,Paamiut,61.994,-49.6678,-2.54,86,75,8.84,GL,1644090741
323,Thung Song,8.1645,99.6804,78.44,95,86,4.68,TH,1644090741
324,Rio Grande,-32.035,-52.0986,84.31,68,57,12.26,BR,1644090212
325,Mahibadhoo,3.7833,72.9667,81.39,71,20,9.57,MV,1644090742
326,Upington,-28.4478,21.2561,82.78,42,8,2.3,ZA,1644090742
327,Najran,17.4924,44.1277,70.45,56,0,3.47,SA,1644090152
328,Urubicha,-15.3833,-62.95,84.43,70,100,4.52,BO,1644090743
329,Aswan,24.0934,32.907,54.25,46,0,11.12,EG,1644090743
330,Revelstoke,50.9832,-118.2023,30.22,86,20,2.3,CA,1644090744
331,Bac Lieu,9.285,105.7244,77.25,70,74,13.56,VN,1644090744
332,Esso,55.9333,158.7,2.28,99,85,2.68,RU,1644090744
333,Cherskiy,68.75,161.3,-32.82,96,12,1.23,RU,1644090745
334,Okha,53.5739,142.9478,4.28,92,100,20.11,RU,1644090745
335,Ous,60.9058,61.5186,14.41,97,100,5.37,RU,1644090745
336,Necochea,-38.5473,-58.7368,64.04,71,100,21.65,AR,1644090746
337,Huntsville,34.7304,-86.5861,41.14,50,0,4.0,US,1644090746
338,Manoel Urbano,-8.8389,-69.2597,81.72,81,83,2.8,BR,1644090746
339,Mogadishu,2.0371,45.3438,77.31,83,5,16.22,SO,1644090747
340,Deputatskiy,69.3,139.9,-30.21,97,92,3.27,RU,1644090155
341,Joshimath,30.5667,79.5667,35.33,38,12,7.76,IN,1644090747
342,Verden,52.9167,9.2333,44.19,76,100,5.01,DE,1644090748
343,Oktyabrskoye,43.0645,44.7417,21.34,85,79,4.47,RU,1644090748
344,Auki,-8.7676,160.7034,79.77,86,77,5.23,SB,1644090748
345,Rafraf,37.1904,10.1837,55.71,83,100,17.16,TN,1644090749
346,Nemuro,43.3236,145.575,23.18,73,99,17.72,JP,1644090749
347,Biak,-0.9131,122.8766,75.79,86,100,2.44,ID,1644090749
348,Altagracia De Orituco,9.8601,-66.3814,85.84,44,50,8.99,VE,1644090750
